"National Healthcare Safety Network (NHSN) Hospitalization Surveillance (downloaded on "Nov-14-2024)
Influenza Division - Centers for Disease Control and Prevention.
Week,Season,Measure,Region,RegionDescription,Measure_Value
202350,2023-24,Influenza Hospital Admissions,1,HHS Region,388
202416,2023-24,Influenza Hospital Admissions,4,HHS Region,483
202437,2023-24,Average patients with influenza in ICU,7,HHS Region,0.43
202350,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,2.61
202350,2023-24,Average patients with influenza in ICU,1,HHS Region,21.43
202350,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,659.43
202350,2023-24,Influenza Hospital Admissions,2,HHS Region,1091
202350,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,3.46
202350,2023-24,Average patients with influenza in ICU,2,HHS Region,87
202350,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,520.43
202350,2023-24,Influenza Hospital Admissions,3,HHS Region,797
202350,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,2.58
202350,2023-24,Average patients with influenza in ICU,3,HHS Region,76.43
202350,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,1818
202350,2023-24,Influenza Hospital Admissions,4,HHS Region,2429
202350,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,3.63
202350,2023-24,Average patients with influenza in ICU,4,HHS Region,332.57
202350,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,688.71
202350,2023-24,Influenza Hospital Admissions,5,HHS Region,1131
202350,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,2.15
202350,2023-24,Average patients with influenza in ICU,5,HHS Region,91.14
202350,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,811.57
202350,2023-24,Influenza Hospital Admissions,6,HHS Region,1365
202350,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,3.2
202350,2023-24,Average patients with influenza in ICU,6,HHS Region,134.14
202350,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,146.29
202350,2023-24,Influenza Hospital Admissions,7,HHS Region,257
202350,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,1.82
202350,2023-24,Average patients with influenza in ICU,7,HHS Region,19.29
202350,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,156.71
202350,2023-24,Influenza Hospital Admissions,8,HHS Region,351
202350,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,2.86
202350,2023-24,Average patients with influenza in ICU,8,HHS Region,25.43
202350,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,1011
202350,2023-24,Influenza Hospital Admissions,9,HHS Region,1686
202350,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,3.29
202350,2023-24,Average patients with influenza in ICU,9,HHS Region,150.14
202350,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,145.57
202350,2023-24,Influenza Hospital Admissions,10,HHS Region,220
202350,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,1.53
202350,2023-24,Average patients with influenza in ICU,10,HHS Region,18.14
202351,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,325
202351,2023-24,Influenza Hospital Admissions,1,HHS Region,493
202351,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,3.32
202351,2023-24,Average patients with influenza in ICU,1,HHS Region,44.29
202351,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,952.43
202351,2023-24,Influenza Hospital Admissions,2,HHS Region,1467
202351,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,4.65
202351,2023-24,Average patients with influenza in ICU,2,HHS Region,138.57
202351,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,818.14
202351,2023-24,Influenza Hospital Admissions,3,HHS Region,1456
202351,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,4.72
202351,2023-24,Average patients with influenza in ICU,3,HHS Region,116.57
202351,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,2562.14
202351,2023-24,Influenza Hospital Admissions,4,HHS Region,3765
202351,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,5.63
202351,2023-24,Average patients with influenza in ICU,4,HHS Region,459.57
202351,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,1032.43
202351,2023-24,Influenza Hospital Admissions,5,HHS Region,1713
202351,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,3.26
