PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2022,40,X,3.04534,X,X,X,X,X,X,1436,105,47154
States,Arizona,2022,40,X,1.33466,X,X,X,X,X,X,268,42,20080
States,California,2022,40,X,2.44759,X,X,X,X,X,X,7136,225,291552
States,Florida,2022,40,X,2.92512,X,X,X,X,X,X,6946,362,237460
States,Louisiana,2022,40,X,2.84618,X,X,X,X,X,X,1261,87,44305
States,Mississippi,2022,40,X,3.44256,X,X,X,X,X,X,457,31,13275
States,New Mexico,2022,40,X,2.73993,X,X,X,X,X,X,557,35,20329
States,Texas,2022,40,X,4.69311,X,X,X,X,X,X,2654,60,56551
States,Alabama,2022,41,X,4.09508,X,X,X,X,X,X,2324,108,56751
States,Arizona,2022,41,X,1.28969,X,X,X,X,X,X,264,44,20470
States,California,2022,41,X,2.69767,X,X,X,X,X,X,7892,226,292549
States,Florida,2022,41,X,2.98013,X,X,X,X,X,X,7097,361,238144
States,Louisiana,2022,41,X,3.41962,X,X,X,X,X,X,1543,87,45122
States,Mississippi,2022,41,X,4.56517,X,X,X,X,X,X,621,30,13603
States,New Mexico,2022,41,X,2.98535,X,X,X,X,X,X,644,38,21572
States,Texas,2022,41,X,5.40857,X,X,X,X,X,X,3328,62,61532
States,Alabama,2022,42,X,5.4292,X,X,X,X,X,X,2831,105,52144
States,Arizona,2022,42,X,1.35059,X,X,X,X,X,X,286,44,21176
States,California,2022,42,X,3.02693,X,X,X,X,X,X,8955,223,295844
States,Florida,2022,42,X,3.64088,X,X,X,X,X,X,8762,361,240656
States,Louisiana,2022,42,X,3.87714,X,X,X,X,X,X,1747,87,45059
States,Mississippi,2022,42,X,5.30754,X,X,X,X,X,X,705,30,13283
States,New Mexico,2022,42,X,3.45906,X,X,X,X,X,X,796,37,23012
States,Texas,2022,42,X,6.0281,X,X,X,X,X,X,3720,60,61711
States,Alabama,2022,43,X,10.2737,X,X,X,X,X,X,5912,107,57545
States,Arizona,2022,43,X,1.55061,X,X,X,X,X,X,322,44,20766
States,California,2022,43,X,3.73647,X,X,X,X,X,X,11136,223,298035
States,Florida,2022,43,X,4.78704,X,X,X,X,X,X,12160,362,254019
States,Louisiana,2022,43,X,5.29776,X,X,X,X,X,X,2538,87,47907
States,Mississippi,2022,43,X,7.21649,X,X,X,X,X,X,1050,29,14550
States,New Mexico,2022,43,X,5.01809,X,X,X,X,X,X,1165,39,23216
States,Texas,2022,43,X,7.72925,X,X,X,X,X,X,5069,61,65582
States,Alabama,2022,44,X,11.5412,X,X,X,X,X,X,6688,106,57949
States,Arizona,2022,44,X,2.65965,X,X,X,X,X,X,566,44,21281
States,California,2022,44,X,4.50526,X,X,X,X,X,X,13396,225,297341
States,Florida,2022,44,X,5.50544,X,X,X,X,X,X,14390,362,261378
States,Louisiana,2022,44,X,5.95891,X,X,X,X,X,X,2912,87,48868
States,Mississippi,2022,44,X,10.0621,X,X,X,X,X,X,1524,30,15146
States,New Mexico,2022,44,X,6.75828,X,X,X,X,X,X,1623,38,24015
States,Texas,2022,44,X,8.54895,X,X,X,X,X,X,5726,62,66979
States,Alabama,2022,45,X,8.55034,X,X,X,X,X,X,4298,108,50267
States,Arizona,2022,45,X,3.60994,X,X,X,X,X,X,837,44,23186
States,California,2022,45,X,5.45335,X,X,X,X,X,X,16348,226,299779
States,Florida,2022,45,X,6.01916,X,X,X,X,X,X,14928,361,248008
States,Louisiana,2022,45,X,5.20374,X,X,X,X,X,X,2503,87,48100
States,Mississippi,2022,45,X,8.15098,X,X,X,X,X,X,1259,30,15446
