PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2023,40,X,2.386,X,X,X,X,X,X,1024,106,42917
States,Arizona,2023,40,X,1.94859,X,X,X,X,X,X,1463,124,75080
States,California,2023,40,X,2.8034,X,X,X,X,X,X,6790,204,242206
States,Florida,2023,40,X,3.90749,X,X,X,X,X,X,9918,359,253820
States,Louisiana,2023,40,X,2.33067,X,X,X,X,X,X,1011,87,43378
States,Mississippi,2023,40,X,3.00762,X,X,X,X,X,X,434,30,14430
States,New Mexico,2023,40,X,3.26676,X,X,X,X,X,X,705,39,21581
States,Texas,2023,40,X,3.46579,X,X,X,X,X,X,1726,51,49801
States,Alabama,2023,41,X,2.46835,X,X,X,X,X,X,1045,108,42336
States,Arizona,2023,41,X,1.85063,X,X,X,X,X,X,1349,122,72894
States,California,2023,41,X,2.68133,X,X,X,X,X,X,7433,211,277213
States,Florida,2023,41,X,4.04913,X,X,X,X,X,X,10289,359,254104
States,Louisiana,2023,41,X,2.47639,X,X,X,X,X,X,1049,87,42360
States,Mississippi,2023,41,X,3.05499,X,X,X,X,X,X,450,31,14730
States,New Mexico,2023,41,X,3.3071,X,X,X,X,X,X,706,39,21348
States,Texas,2023,41,X,3.47986,X,X,X,X,X,X,1717,52,49341
States,Alabama,2023,42,X,2.80341,X,X,X,X,X,X,1121,101,39987
States,Arizona,2023,42,X,1.83354,X,X,X,X,X,X,1407,122,76737
States,California,2023,42,X,3.2034,X,X,X,X,X,X,8892,209,277580
States,Florida,2023,42,X,4.37331,X,X,X,X,X,X,11103,358,253881
States,Louisiana,2023,42,X,2.91474,X,X,X,X,X,X,1268,87,43503
States,Mississippi,2023,42,X,3.27678,X,X,X,X,X,X,506,31,15442
States,New Mexico,2023,42,X,3.7454,X,X,X,X,X,X,815,38,21760
States,Texas,2023,42,X,3.99797,X,X,X,X,X,X,2051,52,51301
States,Alabama,2023,43,X,3.16711,X,X,X,X,X,X,1368,108,43194
States,Arizona,2023,43,X,2.0639,X,X,X,X,X,X,1611,123,78056
States,California,2023,43,X,3.35172,X,X,X,X,X,X,9268,210,276515
States,Florida,2023,43,X,4.7522,X,X,X,X,X,X,12309,357,259017
States,Louisiana,2023,43,X,3.33176,X,X,X,X,X,X,1485,87,44571
States,Mississippi,2023,43,X,4.03415,X,X,X,X,X,X,619,30,15344
States,New Mexico,2023,43,X,3.86958,X,X,X,X,X,X,864,40,22328
States,Texas,2023,43,X,4.29037,X,X,X,X,X,X,2240,53,52210
States,Alabama,2023,44,X,3.65208,X,X,X,X,X,X,1517,106,41538
States,Arizona,2023,44,X,2.26033,X,X,X,X,X,X,1703,122,75343
States,California,2023,44,X,3.86125,X,X,X,X,X,X,10565,209,273616
States,Florida,2023,44,X,5.05029,X,X,X,X,X,X,13095,358,259292
