Sights	Latitude	Longitude	Start	Finish
White Sands National Park	32.780361	-106.171448		
Texas Capitol	15.15563	145.706757		
The Galleria	29.657089	-98.611732		
Oak Alley Plantation	30.1987	-97.831329		
DisneyWorld	28.385233	-81.563873		
Universal Islands of Adventure	28.04191	-82.41497		
Busch Gardens Tampa Bay	28.03649	-82.41508		
Clearwater Beach	27.92444	-82.841003		
French Quarter	29.9604	-90.058861		
Jackson Square	29.94711	-90.09181		
USS ALABAMA Battleship Memorial Park	31.899281	-88.311241		
 National Naval Aviation Museum	30.349581	-87.303545		
Florida Keys	25.027336	-81.535751		
Los Angeles	34.052235	-118.243683	START HERE	
GrandMas	25.790653	-80.130043		FINISH LINE
