CBSA_NAME,ACUITY_LEVEL,ACTIVITY_LEVEL_LABEL,WEEK,Latitude,Longitude
"Alamogordo, NM",5,Low,12,32.8995325,-105.960265
"Albertville, AL",4,Low,12,34.2675937,-86.2088669
"Albuquerque, NM",11,Very High,12,35.0843859,-106.650422
"Alexander City, AL",1,Minimal,12,32.944012,-85.9538532
"Alexandria, LA",3,Minimal,12,31.3112936,-92.4451371
"Anniston-Oxford-Jacksonville, AL",5,Low,12,33.8137125,-85.7613536
"Arcadia, FL",2,Minimal,12,27.2158826,-81.8584164
"Atmore, AL",1,Minimal,12,31.0237921,-87.4938708
"Auburn-Opelika, AL",3,Minimal,12,32.637656,-85.3836481
"Austin-Round Rock, TX",2,Minimal,12,30.5082551,-97.678896
"Baton Rouge, LA",2,Minimal,12,30.4514677,-91.1871466
"Birmingham-Hoover, AL",4,Low,12,33.4053867,-86.8113781
"Bogalusa, LA",2,Minimal,12,30.7910204,-89.8486858
"Brownsville-Harlingen, TX",2,Minimal,12,26.1906306,-97.6961026
"Brownwood, TX",3,Minimal,12,31.7093197,-98.9911611
"Cape Coral-Fort Myers, FL",7,Moderate,12,26.5605279,-81.9274896
"Carlsbad-Artesia, NM",4,Low,12,32.4170622,-104.4723301
"Clewiston, FL",2,Minimal,12,26.7542312,-80.9336753
"Clovis, NM",6,Moderate,12,34.4047987,-103.2052272
"College Station-Bryan, TX",3,Minimal,12,30.825147,-96.4929797
"Columbus, GA-AL",4,Low,12,32.4609764,-84.9877094
"Crestview-Fort Walton Beach-Destin, FL",1,Minimal,12,30.3935337,-86.4957833
"Cullman, AL",3,Minimal,12,34.1748208,-86.8436124
"Dallas-Fort Worth-Arlington, TX",3,Minimal,12,32.735687,-97.1080656
"Daphne-Fairhope-Foley, AL",2,Minimal,12,30.4065868,-87.6835974
"Decatur, AL",3,Minimal,12,34.6059253,-86.9833417
"Deltona-Daytona Beach-Ormond Beach, FL",4,Low,12,29.0396219,-81.2518833
"Deming, NM",2,Minimal,12,32.2686981,-107.7586404
"DeRidder, LA",2,Minimal,12,30.8463055,-93.2890527
"Dothan, AL",1,Minimal,12,31.2233594,-85.389326
"El Centro, CA",1,Minimal,12,32.792,-115.5630514
"El Paso, TX",3,Minimal,12,31.7618778,-106.4850217
"Enterprise, AL",3,Minimal,12,31.3151708,-85.8552161
