Unnamed: 0,STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
440,Alabama,http://adph.org/influenza/,Influenza Surveillance,7,Moderate,2024-03-02,9,2023-24
444,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),6,Moderate,2024-03-02,9,2023-24
449,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,6,Moderate,2024-03-02,9,2023-24
458,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,7,Moderate,2024-03-02,9,2023-24
468,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",3,Minimal,2024-03-02,9,2023-24
471,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,11,Very High,2024-03-02,9,2023-24
483,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,6,Moderate,2024-03-02,9,2023-24
495,Alabama,http://adph.org/influenza/,Influenza Surveillance,5,Low,2024-03-09,10,2023-24
499,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),6,Moderate,2024-03-09,10,2023-24
504,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,5,Low,2024-03-09,10,2023-24
513,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,6,Moderate,2024-03-09,10,2023-24
523,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",2,Minimal,2024-03-09,10,2023-24
526,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,10,High,2024-03-09,10,2023-24
538,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,5,Low,2024-03-09,10,2023-24
550,Alabama,http://adph.org/influenza/,Influenza Surveillance,4,Low,2024-03-16,11,2023-24
554,California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),6,Moderate,2024-03-16,11,2023-24
559,Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,4,Low,2024-03-16,11,2023-24
568,Louisiana,https://ldh.la.gov/page/respiratory-home,Influenza,5,Low,2024-03-16,11,2023-24
578,Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",2,Minimal,2024-03-16,11,2023-24
581,New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,10,High,2024-03-16,11,2023-24
593,Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,3,Minimal,2024-03-16,11,2023-24
