CBSA_ID,CBSA_NAME,ACUITY_LEVEL,WEEK,SEASON,Latitude,Longitude,ACTIVITY_LEVEL
454,"Alamogordo, NM",7,3/9/2024,2023-24,32.8995325,-105.960265,Moderate
250,"Albertville, AL",3,3/9/2024,2023-24,34.2675937,-86.2088669,Minimal
165,"Albuquerque, NM",11,3/9/2024,2023-24,35.0843859,-106.650422,Very High
891,"Alexander City, AL",2,3/9/2024,2023-24,32.944012,-85.9538532,Minimal
66,"Alexandria, LA",5,3/9/2024,2023-24,31.3112936,-92.4451371,Low
825,"Anniston-Oxford-Jacksonville, AL",5,3/9/2024,2023-24,33.8137125,-85.7613536,Low
74,"Arcadia, FL",1,3/9/2024,2023-24,27.2158826,-81.8584164,Minimal
856,"Atmore, AL",3,3/9/2024,2023-24,31.0237921,-87.4938708,Minimal
481,"Auburn-Opelika, AL",5,3/9/2024,2023-24,32.637656,-85.3836481,Low
262,"Austin-Round Rock, TX",5,3/9/2024,2023-24,30.5082551,-97.678896,Low
928,"Baton Rouge, LA",4,3/9/2024,2023-24,30.4514677,-91.1871466,Low
164,"Birmingham-Hoover, AL",7,3/9/2024,2023-24,33.4053867,-86.8113781,Moderate
795,"Bogalusa, LA",1,3/9/2024,2023-24,30.7910204,-89.8486858,Minimal
8,"Brownsville-Harlingen, TX",4,3/9/2024,2023-24,26.1906306,-97.6961026,Low
774,"Brownwood, TX",5,3/9/2024,2023-24,31.7093197,-98.9911611,Low
308,"Cape Coral-Fort Myers, FL",8,3/9/2024,2023-24,26.5605279,-81.9274896,High
743,"Carlsbad-Artesia, NM",8,3/9/2024,2023-24,32.4170622,-104.4723301,High
610,"Clewiston, FL",4,3/9/2024,2023-24,26.7542312,-80.9336753,Low
753,"Clovis, NM",6,3/9/2024,2023-24,34.4047987,-103.2052272,Moderate
25,"College Station-Bryan, TX",5,3/9/2024,2023-24,30.825147,-96.4929797,Low
183,"Columbus, GA-AL",6,3/9/2024,2023-24,32.4609764,-84.9877094,Moderate
23,"Crestview-Fort Walton Beach-Destin, FL",4,3/9/2024,2023-24,30.3935337,-86.4957833,Low
300,"Cullman, AL",3,3/9/2024,2023-24,34.1748208,-86.8436124,Minimal
211,"Dallas-Fort Worth-Arlington, TX",5,3/9/2024,2023-24,32.735687,-97.1080656,Low
284,"Daphne-Fairhope-Foley, AL",1,3/9/2024,2023-24,30.4065868,-87.6835974,Minimal
139,"Decatur, AL",4,3/9/2024,2023-24,34.6059253,-86.9833417,Low
41,"Deltona-Daytona Beach-Ormond Beach, FL",4,3/9/2024,2023-24,29.0396219,-81.2518833,Low
335,"Deming, NM",2,3/9/2024,2023-24,32.2686981,-107.7586404,Minimal
397,"DeRidder, LA",2,3/9/2024,2023-24,30.8463055,-93.2890527,Minimal
415,"Dothan, AL",1,3/9/2024,2023-24,31.2233594,-85.389326,Minimal
391,"El Centro, CA",1,3/9/2024,2023-24,32.792,-115.5630514,Minimal
114,"El Paso, TX",2,3/9/2024,2023-24,31.7618778,-106.4850217,Minimal
622,"Enterprise, AL",3,3/9/2024,2023-24,31.3151708,-85.8552161,Minimal
382,"Espa̱ola, NM",1,3/9/2024,2023-24,34.9727305,-105.0323635,Minimal
320,"Eufaula, AL-GA",3,3/9/2024,2023-24,31.8912717,-85.1454876,Minimal
319,"Farmington, NM",3,3/9/2024,2023-24,36.7280583,-108.2186856,Minimal
100,"Flagstaff, AZ",3,3/9/2024,2023-24,35.1982836,-111.651302,Minimal
373,"Florence-Muscle Shoals, AL",2,3/9/2024,2023-24,34.7448112,-87.6675292,Minimal
38,"Fort Payne, AL",3,3/9/2024,2023-24,34.4442547,-85.7196893,Minimal
304,"Fort Polk South, LA",5,3/9/2024,2023-24,31.0464824,-93.2048005,Low
124,"Fresno, CA",5,3/9/2024,2023-24,36.7377981,-119.7871247,Low
396,"Gadsden, AL",1,3/9/2024,2023-24,34.014264,-86.0066386,Minimal
471,"Gainesville, FL",5,3/9/2024,2023-24,29.6519563,-82.324998,Low
513,"Grants, NM",5,3/9/2024,2023-24,35.14726,-107.8514466,Low
456,"Hammond, LA",5,3/9/2024,2023-24,30.5043583,-90.4611995,Low
690,"Hanford-Corcoran, CA",10,3/9/2024,2023-24,36.3274502,-119.6456844,High
590,"Hobbs, NM",5,3/9/2024,2023-24,32.7026116,-103.1360403,Low
369,"Homosassa Springs, FL",1,3/9/2024,2023-24,28.8037059,-82.5761369,Minimal
136,"Houma-Thibodaux, LA",4,3/9/2024,2023-24,29.6014226,-90.7532809,Low
844,"Houston-The Woodlands-Sugar Land, TX",5,3/9/2024,2023-24,29.5984434,-95.6225521,Low
81,"Huntsville, AL",6,3/9/2024,2023-24,34.7303688,-86.5861037,Moderate
439,"Huntsville, TX",5,3/9/2024,2023-24,30.7235263,-95.5507771,Low
238,"Jacksonville, FL",6,3/9/2024,2023-24,30.3321838,-81.655651,Moderate
749,"Key West, FL",2,3/9/2024,2023-24,24.5550593,-81.7799871,Minimal
372,"Killeen-Temple, TX",2,3/9/2024,2023-24,31.1241507,-97.6982272,Minimal
501,"Lafayette, LA",5,3/9/2024,2023-24,30.2240897,-92.0198427,Low
455,"Lake Charles, LA",3,3/9/2024,2023-24,30.2265949,-93.2173758,Minimal
381,"Lake City, FL",3,3/9/2024,2023-24,30.1893883,-82.6394016,Minimal
134,"Lake Havasu City-Kingman, AZ",1,3/9/2024,2023-24,35.2143346,-113.7632828,Minimal
330,"Lakeland-Winter Haven, FL",8,3/9/2024,2023-24,28.0222435,-81.7328567,High
11,"Laredo, TX",3,3/9/2024,2023-24,27.5035613,-99.5075519,Minimal
